Time, Heart Rate, Latitude, Longitude, Altitude (meters above sea level), Speed (meters/second), Heart Rate Variability (milliseconds), Calories Burned (kcal), Battery Level (%)
09/26/2018 19:11:34,0,0.0,0.0,0.0,0.0,,-1,96
09/26/2018 19:11:34,78,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:35,78,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:36,78,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:37,79,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:38,79,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:39,79,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:40,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:41,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:42,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:44,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:45,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:45,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:46,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:47,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:48,80,0.0,0.0,0.0,0.0,,0,96
09/26/2018 19:11:49,81,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:50,81,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:51,81,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:52,81,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:53,81,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:54,80,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:55,80,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:56,80,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:57,81,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:58,81,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:11:59,81,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:12:00,80,0.0,0.0,0.0,0.0,,1,96
09/26/2018 19:12:01,79,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:02,79,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:03,79,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:04,77,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:05,77,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:06,77,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:07,76,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:08,75,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:10,75,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:11,75,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:12,75,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:13,75,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:13,75,0.0,0.0,0.0,0.0,,2,96
09/26/2018 19:12:14,75,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:15,75,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:16,75,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:17,76,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:18,76,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:19,76,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:20,76,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:21,77,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:22,77,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:23,77,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:24,77,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:25,76,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:26,76,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:27,76,0.0,0.0,0.0,0.0,,3,96
09/26/2018 19:12:28,76,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:29,74,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:30,74,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:31,74,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:32,74,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:33,73,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:34,73,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:35,73,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:36,73,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:37,73,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:38,73,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:39,73,0.0,0.0,0.0,0.0,,4,96
09/26/2018 19:12:42,73,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:43,73,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:43,73,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:44,73,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:44,74,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:46,74,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:47,73,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:47,73,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:49,72,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:50,72,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:51,71,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:51,69,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:52,68,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:53,67,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:54,66,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:55,66,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:57,66,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:12:57,66,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:58,66,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:12:59,66,0.0,0.0,0.0,0.0,,5,96
09/26/2018 19:13:00,66,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:01,67,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:02,69,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:03,70,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:04,70,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:05,70,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:06,71,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:07,71,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:08,72,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:09,72,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:10,72,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:11,73,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:12,74,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:13,74,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:14,75,0.0,0.0,0.0,0.0,,6,96
09/26/2018 19:13:15,76,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:16,76,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:17,77,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:18,78,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:20,78,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:20,78,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:21,77,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:22,76,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:23,74,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:25,74,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:26,74,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:26,74,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:28,73,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:29,74,0.0,0.0,0.0,0.0,,7,96
09/26/2018 19:13:30,74,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:31,73,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:32,73,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:32,73,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:33,73,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:35,73,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:36,74,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:36,74,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:38,73,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:39,72,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:39,72,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:40,72,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:41,73,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:42,75,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:43,75,0.0,0.0,0.0,0.0,,8,96
09/26/2018 19:13:44,76,0.0,0.0,0.0,0.0,,9,96
09/26/2018 19:13:45,76,0.0,0.0,0.0,0.0,,9,96
09/26/2018 19:13:47,76,0.0,0.0,0.0,0.0,,9,96
09/26/2018 19:13:48,76,0.0,0.0,0.0,0.0,,9,96
09/26/2018 19:13:48,77,0.0,0.0,0.0,0.0,,9,96
09/26/2018 19:13:49,77,0.0,0.0,0.0,0.0,,9,96
